Epoch   1 | Train Loss 1.4167 Acc 20.31% | Val Loss 2.1882 Acc 3.34% | 50s
Epoch   2 | Train Loss 1.1862 Acc 27.20% | Val Loss 2.0452 Acc 6.89% | 49s
Epoch   3 | Train Loss 1.0803 Acc 30.60% | Val Loss 1.8700 Acc 9.59% | 49s
Epoch   4 | Train Loss 0.5325 Acc 55.34% | Val Loss 0.9963 Acc 49.88% | 60s
Epoch   5 | Train Loss 0.3446 Acc 68.51% | Val Loss 1.2662 Acc 41.44% | 60s
Epoch   6 | Train Loss 0.2940 Acc 69.77% | Val Loss 0.9195 Acc 53.82% | 59s
Epoch   7 | Train Loss 0.2459 Acc 73.93% | Val Loss 0.9420 Acc 51.87% | 60s
Epoch   8 | Train Loss 0.2296 Acc 75.92% | Val Loss 0.8145 Acc 57.61% | 60s
Epoch   9 | Train Loss 0.2173 Acc 76.59% | Val Loss 0.7891 Acc 61.91% | 60s
Epoch  10 | Train Loss 0.2153 Acc 76.85% | Val Loss 0.9509 Acc 53.57% | 60s
Epoch  11 | Train Loss 0.1954 Acc 78.18% | Val Loss 0.8415 Acc 64.35% | 60s
Epoch  12 | Train Loss 0.1662 Acc 79.61% | Val Loss 0.7139 Acc 60.36% | 60s
Epoch  13 | Train Loss 0.1371 Acc 81.09% | Val Loss 0.8385 Acc 62.46% | 60s
Epoch  14 | Train Loss 0.1571 Acc 81.59% | Val Loss 0.9486 Acc 58.21% | 59s
Epoch  15 | Train Loss 0.1543 Acc 81.50% | Val Loss 0.9327 Acc 55.67% | 60s
Epoch  16 | Train Loss 0.1226 Acc 83.40% | Val Loss 0.6923 Acc 66.05% | 60s
Epoch  17 | Train Loss 0.0906 Acc 85.82% | Val Loss 0.7012 Acc 66.75% | 60s
Epoch  18 | Train Loss 0.0852 Acc 87.11% | Val Loss 0.7171 Acc 66.75% | 60s
Epoch  19 | Train Loss 0.0894 Acc 86.25% | Val Loss 0.7710 Acc 61.61% | 60s
Epoch  20 | Train Loss 0.0808 Acc 87.06% | Val Loss 0.8184 Acc 63.06% | 60s
Epoch  21 | Train Loss 0.0784 Acc 87.28% | Val Loss 0.7405 Acc 69.75% | 60s
Epoch  22 | Train Loss 0.0748 Acc 87.97% | Val Loss 0.8039 Acc 70.39% | 60s
Epoch  23 | Train Loss 0.0733 Acc 88.23% | Val Loss 0.7386 Acc 67.65% | 60s
Epoch  24 | Train Loss 0.0775 Acc 88.29% | Val Loss 0.8821 Acc 70.04% | 60s
Epoch  25 | Train Loss 0.0768 Acc 87.78% | Val Loss 0.7625 Acc 68.45% | 59s
Epoch  26 | Train Loss 0.0663 Acc 88.54% | Val Loss 0.7776 Acc 69.15% | 59s
Epoch  27 | Train Loss 0.0639 Acc 89.30% | Val Loss 0.7106 Acc 70.54% | 60s
Epoch  28 | Train Loss 0.0522 Acc 90.11% | Val Loss 0.7324 Acc 73.79% | 60s
Epoch  29 | Train Loss 0.0514 Acc 90.34% | Val Loss 0.7358 Acc 70.09% | 60s
Epoch  30 | Train Loss 0.0504 Acc 90.28% | Val Loss 0.6848 Acc 75.74% | 60s
Epoch  31 | Train Loss 0.0460 Acc 90.81% | Val Loss 0.7341 Acc 72.69% | 60s
Epoch  32 | Train Loss 0.0439 Acc 90.95% | Val Loss 0.7509 Acc 72.49% | 59s
Epoch  33 | Train Loss 0.0442 Acc 91.44% | Val Loss 0.7206 Acc 73.59% | 59s
Epoch  34 | Train Loss 0.0441 Acc 91.66% | Val Loss 0.7738 Acc 75.34% | 59s
Epoch  35 | Train Loss 0.0411 Acc 92.06% | Val Loss 0.7199 Acc 75.79% | 59s
Epoch  36 | Train Loss 0.0378 Acc 92.42% | Val Loss 0.7241 Acc 76.34% | 60s
Epoch  37 | Train Loss 0.0312 Acc 92.51% | Val Loss 0.7618 Acc 76.54% | 60s
Epoch  38 | Train Loss 0.0340 Acc 92.69% | Val Loss 0.7552 Acc 77.38% | 60s
Epoch  39 | Train Loss 0.0319 Acc 92.82% | Val Loss 0.7492 Acc 75.99% | 59s
Epoch  40 | Train Loss 0.0314 Acc 92.47% | Val Loss 0.7141 Acc 77.08% | 60s
Epoch  41 | Train Loss 0.0358 Acc 92.70% | Val Loss 0.7878 Acc 77.78% | 60s
Epoch  42 | Train Loss 0.0349 Acc 92.85% | Val Loss 0.7716 Acc 78.13% | 60s
Epoch  43 | Train Loss 0.0306 Acc 92.80% | Val Loss 0.7688 Acc 76.29% | 60s
Epoch  44 | Train Loss 0.0269 Acc 93.52% | Val Loss 0.7316 Acc 79.03% | 60s
Epoch  45 | Train Loss 0.0289 Acc 93.00% | Val Loss 0.7375 Acc 77.93% | 60s
Epoch  46 | Train Loss 0.0295 Acc 93.53% | Val Loss 0.7351 Acc 77.58% | 60s
Epoch  47 | Train Loss 0.0261 Acc 93.56% | Val Loss 0.8052 Acc 75.44% | 60s
Epoch  48 | Train Loss 0.0291 Acc 93.63% | Val Loss 0.8270 Acc 79.23% | 60s
Epoch  49 | Train Loss 0.0357 Acc 93.61% | Val Loss 0.7931 Acc 79.53% | 60s
Epoch  50 | Train Loss 0.0255 Acc 92.94% | Val Loss 0.7610 Acc 79.13% | 59s
